LOCATION,TIME,eu,ea,gr5y,pop_work_5,gdp_per_work_5,trade_in_goods_5,inflation_5,years
DEU,1999,1.0,1.0,0.15994050888917155,5568.591222788,332.5851463869443,42.0578830860047,2.693056,1999
DEU,2000,1.0,1.0,0.1634767448816436,5577.385371109999,344.2585134865575,43.5816342149572,1.706161,2000
DEU,2001,1.0,1.0,0.19074116154527201,5590.6874205,351.93159982176826,45.0056209599351,1.449726,2001
DEU,2002,1.0,1.0,0.20002476915133982,5597.971011225,359.97187140828623,49.6426586441629,1.939369,2002
DEU,2003,1.0,1.0,0.1942879548020552,5599.064817674001,371.38484473981157,51.584972349361095,0.9111845,2003
DEU,2004,1.0,1.0,0.2096791151446231,5595.213660693,385.7789839490518,53.365849631945906,0.5854336,2004
DEU,2005,1.0,1.0,0.18887329189922042,5585.120531936001,400.5367746691333,61.5260610026125,1.440268,2005
DEU,2006,1.0,1.0,0.22494868177667793,5577.148738349999,419.0594419562582,62.0628388890423,1.983857,2006
DEU,2007,1.0,1.0,0.2665741852522945,5571.850236671,431.9751618877045,60.934889814932696,1.420807,2007
DEU,2008,1.0,1.0,0.2893714403067332,5559.584562175,443.5404466687884,61.8493197140493,1.034223,2008
DEU,2009,1.0,1.0,0.19730016682507567,5535.851387583999,466.6687799448807,66.2261991054223,1.665736,2009
DEU,2010,1.0,1.0,0.24154281724499452,5506.3183013279995,476.1874738275888,70.9187129366213,1.546911,2010
DEU,2011,1.0,1.0,0.25864514360536317,5474.573914726,513.3263110103887,77.4497291495464,1.577429,2011
DEU,2012,1.0,1.0,0.20171412004079087,5449.571346639,547.1285887171473,79.87441739513119,2.298341,2012
DEU,2013,1.0,1.0,0.1926749528808837,5427.559521796999,571.8883845556275,81.5248047312182,2.628383,2013
DEU,2014,1.0,1.0,0.2772589717357661,5400.556287212,558.7426080800602,71.2287128996251,0.3127377,2014
DEU,2015,1.0,1.0,0.22480628261256455,5392.125829032,591.2071377926817,79.8686242395882,1.103809,2015
DEU,2016,1.0,1.0,0.19429946479228322,5285.6258489639995,646.095668438082,85.2061212670221,2.075173,2016
DEU,2017,1.0,1.0,0.23421845490677917,5303.841947222,657.4921505393864,86.5140548790483,2.008491,2017
DEU,2018,1.0,1.0,0.23969637665216495,5319.86797943,682.0769521030077,85.0788766962491,1.504722,2018
GRC,1975,1.0,1.0,0.7212961481883116,565.3422545760001,48.58165434776959,23.10993721878316,2.841678,1975
GRC,1976,1.0,1.0,0.6876746670964984,564.506314228,55.12835767401308,23.31920112473913,3.289474,1976
GRC,1977,1.0,1.0,0.5939190010674031,568.1166586200001,62.95203891199707,25.31765869641518,4.33121,1977
GRC,1978,1.0,1.0,0.5914876022991006,570.425730024,71.48468214833922,31.7303505360588,15.38461,1978
GRC,1979,1.0,1.0,0.7283228234238327,572.153472366,72.68072992380418,35.476907780942,26.56085,1979
GRC,1980,1.0,1.0,0.6257622368797556,577.93833567,83.62341450143174,35.3229912508179,13.62876,1980
GRC,1981,1.0,1.0,0.5517527007446404,585.59093001,93.03873268506672,34.8786902242773,13.02428,1981
GRC,1982,1.0,1.0,0.4938811157781625,593.676173662,100.34045097776666,34.6615833969013,12.36979,1982
GRC,1983,1.0,1.0,0.3390484322302063,601.056156701,113.7669853933737,33.136595541031795,12.57242,1983
GRC,1984,1.0,1.0,0.2691284932287776,608.873316144,125.61576435041428,35.5322128522604,19.09418,1984
GRC,1985,1.0,1.0,0.22885268757260524,617.554232725,135.95178941537065,44.585824644814295,24.67589,1985
GRC,1986,1.0,1.0,0.18563893117137847,626.6674335,144.37310471791093,47.14033523186011,24.50607,1986
GRC,1987,1.0,1.0,0.13419152539769835,633.606649899,149.89670486435008,41.8515323685399,20.99109,1987
GRC,1988,1.0,1.0,0.1945081975946538,640.8775649219999,152.33950343055383,41.1755428294137,20.17948,1988
GRC,1989,1.0,1.0,0.21826853772490984,647.254656007,159.42254573582247,40.8984854798924,18.45683,1989
GRC,1990,1.0,1.0,0.187684448806691,653.169896206,167.0647218033831,40.3879756748418,19.31469,1990
GRC,1991,1.0,1.0,0.2165614109179675,653.6930421760001,171.17437356763742,42.6520447835164,23.01544,1991
GRC,1992,1.0,1.0,0.2481744917709541,659.2024499039999,170.01157234218581,42.3183571982862,16.39687,1992
GRC,1993,1.0,1.0,0.1651022614685316,664.9436642129999,181.97078566529544,39.6132344290498,13.52886,1993
GRC,1994,1.0,1.0,0.12951087506096604,672.0346568499999,194.219471673963,40.7838550986017,13.65556,1994
